Code INSEE,Feu en été,Année
40297,1,2006
40298,0,2006
40299,0,2006
40300,0,2006
40301,0,2006
40302,1,2006
40303,1,2006
40304,0,2006
40305,0,2006
40306,0,2006
40307,1,2006
40308,0,2006
40309,1,2006
40310,1,2006
40311,1,2006
40312,1,2006
40313,0,2006
40314,0,2006
40315,1,2006
40316,0,2006
40317,0,2006
40318,0,2006
40319,1,2006
40320,1,2006
40321,0,2006
40322,0,2006
40323,0,2006
40324,0,2006
40325,0,2006
40326,1,2006
40327,0,2006
40328,0,2006
40329,0,2006
40330,0,2006
40331,0,2006
40332,1,2006
40333,0,2006
40334,0,2006
4001,0,2007
4004,0,2007
4005,0,2007
4006,0,2007
4007,0,2007
4008,0,2007
4009,0,2007
4012,0,2007
4013,0,2007
4016,0,2007
4017,0,2007
4018,0,2007
4019,0,2007
4020,0,2007
4021,0,2007
4022,0,2007
4023,0,2007
4024,0,2007
4025,0,2007
4026,0,2007
4027,0,2007
4028,0,2007
4030,0,2007
4031,0,2007
4032,0,2007
4033,0,2007
4034,0,2007
4035,0,2007
4036,0,2007
4037,0,2007
4039,0,2007
4040,0,2007
4041,0,2007
4042,0,2007
4043,0,2007
4045,0,2007
4046,0,2007
4047,0,2007
4049,0,2007
4050,0,2007
4051,0,2007
4053,0,2007
4054,0,2007
4055,0,2007
4057,0,2007
4058,0,2007
4059,0,2007
4061,0,2007
4062,0,2007
4063,0,2007
4065,0,2007
4066,0,2007
4067,0,2007
4068,0,2007
4069,0,2007
4070,0,2007
4072,0,2007
4073,0,2007
4074,0,2007
4075,0,2007
4076,0,2007
4077,0,2007
4079,0,2007
4081,0,2007
4084,0,2007
4085,0,2007
4086,0,2007
4087,0,2007
4088,0,2007
4090,0,2007
4091,0,2007
4092,0,2007
4093,0,2007
4094,0,2007
4095,0,2007
4096,0,2007
4097,0,2007
4099,0,2007
40001,0,2007
40002,0,2007
40003,0,2007
40004,0,2007
40005,0,2007
40006,0,2007
40007,0,2007
40008,0,2007
40009,1,2007
40011,0,2007
40012,0,2007
40013,0,2007
40014,0,2007
40015,0,2007
40016,0,2007
40017,0,2007
40018,0,2007
40019,0,2007
40020,0,2007
40021,0,2007
40022,0,2007
40023,0,2007
40024,0,2007
40025,0,2007
40026,0,2007
40027,0,2007
40028,0,2007
40029,0,2007
40030,0,2007
40031,0,2007
40032,0,2007
40033,0,2007
40034,0,2007
40035,0,2007
40036,0,2007
40037,0,2007
40038,0,2007
40039,0,2007
40040,0,2007
40041,0,2007
40042,0,2007
40043,0,2007
40044,0,2007
40046,1,2007
40047,0,2007
40048,0,2007
40049,0,2007
40050,0,2007
40051,0,2007
40052,0,2007
40053,0,2007
40054,0,2007
40055,0,2007
40056,0,2007
40057,0,2007
40058,0,2007
40059,0,2007
40060,0,2007
40061,0,2007
40062,0,2007
40063,0,2007
40064,0,2007
40065,0,2007
40066,0,2007
40067,0,2007
40068,0,2007
40069,0,2007
40070,0,2007
40071,0,2007
40072,0,2007
40073,0,2007
40074,0,2007
40075,0,2007
40076,0,2007
40077,0,2007
40078,0,2007
40079,0,2007
40080,0,2007
40081,0,2007
40082,0,2007
40083,0,2007
40084,0,2007
40085,0,2007
40086,0,2007
40087,0,2007
40088,0,2007
40089,0,2007
40090,0,2007
40091,0,2007
40092,0,2007
40093,0,2007
40094,1,2007
40095,0,2007
40096,0,2007
40097,0,2007
40098,0,2007
40099,0,2007
40100,0,2007
40101,0,2007
40102,0,2007
40103,0,2007
40104,0,2007
40105,1,2007
40106,0,2007
40107,0,2007
40108,1,2007
40109,0,2007
40110,0,2007
40111,0,2007
40112,0,2007
40113,0,2007
40114,0,2007
40115,0,2007
40116,0,2007
40117,0,2007
40118,0,2007
40119,0,2007
40120,0,2007
40121,0,2007
40122,0,2007
40123,0,2007
40124,0,2007
40125,0,2007
40126,0,2007
40127,0,2007
40128,0,2007
40129,0,2007
40130,0,2007
40131,0,2007
40132,0,2007
40133,0,2007
40134,0,2007
40135,0,2007
40136,0,2007
40137,0,2007
40138,0,2007
40139,0,2007
40140,0,2007
40141,0,2007
40142,0,2007
40143,0,2007
40144,0,2007
40145,0,2007
40146,0,2007
40147,0,2007
40148,0,2007
40149,0,2007
40150,0,2007
40151,0,2007
40152,0,2007
40153,0,2007
40154,0,2007
40155,0,2007
40156,0,2007
40157,1,2007
40158,0,2007
40159,0,2007
40160,0,2007
40161,0,2007
40162,0,2007
40163,0,2007
40164,0,2007
40165,0,2007
40166,0,2007
40167,0,2007
40168,1,2007
40169,0,2007
40170,0,2007
40171,0,2007
40172,0,2007
40173,0,2007
40174,0,2007
40175,0,2007
40176,0,2007
40177,0,2007
40178,0,2007
40179,0,2007
40180,0,2007
40181,0,2007
40182,0,2007
40183,0,2007
40184,1,2007
40185,0,2007
40186,0,2007
40187,1,2007
40188,0,2007
40189,0,2007
40190,0,2007
40191,0,2007
40192,0,2007
40193,0,2007
40194,0,2007
40195,0,2007
40196,0,2007
40197,0,2007
40198,0,2007
