Point,Latitude,Longitude,Contexte,Période,Saison,NORNSV23,NORNSV24,NORNSV25,NORIFM20,NORIFM40,NORIFM60,NORIS400,NORIS700,NORIS1000
4471,43.7472,-0.5904,RCP4.5,H1,2,0,0,-999,3,0,0,0,0,-999
4471,43.7472,-0.5904,RCP4.5,H1,3,20,4,0,20,1,0,26,2,0
4471,43.7472,-0.5904,RCP4.5,H1,4,12,2,-999,4,0,0,32,2,-999
4472,43.7498,-0.4912,RCP4.5,H1,2,0,0,-999,3,0,0,0,0,-999
4472,43.7498,-0.4912,RCP4.5,H1,3,19,4,0,19,1,0,25,1,0
4472,43.7498,-0.4912,RCP4.5,H1,4,11,2,-999,3,0,0,31,2,-999
4473,43.7523,-0.3921,RCP4.5,H1,2,0,0,-999,3,0,0,0,0,-999
4473,43.7523,-0.3921,RCP4.5,H1,3,18,4,0,18,1,0,23,1,0
4473,43.7523,-0.3921,RCP4.5,H1,4,10,2,-999,3,0,0,26,1,-999
4474,43.7548,-0.293,RCP4.5,H1,2,0,0,-999,2,0,0,0,0,-999
4474,43.7548,-0.293,RCP4.5,H1,3,17,3,0,18,2,0,21,0,0
4474,43.7548,-0.293,RCP4.5,H1,4,8,1,-999,3,0,0,25,1,-999
4606,43.7947,-1.3878,RCP4.5,H1,2,0,0,-999,5,0,0,0,0,-999
4606,43.7947,-1.3878,RCP4.5,H1,3,27,18,9,46,8,1,23,2,0
4606,43.7947,-1.3878,RCP4.5,H1,4,17,9,-999,12,1,0,18,2,-999
4607,43.798,-1.2886,RCP4.5,H1,2,0,0,-999,1,0,0,0,0,-999
4607,43.798,-1.2886,RCP4.5,H1,3,16,3,0,10,0,0,22,1,0
4607,43.798,-1.2886,RCP4.5,H1,4,7,1,-999,3,0,0,18,2,-999
4608,43.8013,-1.1894,RCP4.5,H1,2,0,0,-999,1,0,0,0,0,-999
4608,43.8013,-1.1894,RCP4.5,H1,3,16,2,0,10,0,0,24,2,0
4608,43.8013,-1.1894,RCP4.5,H1,4,7,1,-999,3,0,0,24,2,-999
4609,43.8045,-1.0902,RCP4.5,H1,2,0,0,-999,2,0,0,0,0,-999
4609,43.8045,-1.0902,RCP4.5,H1,3,18,4,0,17,1,0,24,1,0
4609,43.8045,-1.0902,RCP4.5,H1,4,11,1,-999,4,0,0,26,1,-999
4610,43.8076,-0.991,RCP4.5,H1,2,0,0,-999,2,0,0,0,0,-999
4610,43.8076,-0.991,RCP4.5,H1,3,18,4,0,18,1,0,24,1,0
4610,43.8076,-0.991,RCP4.5,H1,4,11,1,-999,4,0,0,27,1,-999
4611,43.8106,-0.8918,RCP4.5,H1,2,0,0,-999,2,0,0,0,0,-999
4611,43.8106,-0.8918,RCP4.5,H1,3,19,4,0,18,1,0,30,2,0
4611,43.8106,-0.8918,RCP4.5,H1,4,11,1,-999,4,0,0,37,3,-999
4612,43.8135,-0.7926,RCP4.5,H1,2,0,0,-999,3,0,0,0,0,-999
4612,43.8135,-0.7926,RCP4.5,H1,3,22,4,0,21,2,0,29,2,0
4612,43.8135,-0.7926,RCP4.5,H1,4,15,2,-999,5,0,0,36,2,-999
4613,43.8163,-0.6933,RCP4.5,H1,2,0,0,-999,3,0,0,0,0,-999
4613,43.8163,-0.6933,RCP4.5,H1,3,21,4,0,21,1,0,26,2,0
4613,43.8163,-0.6933,RCP4.5,H1,4,14,2,-999,5,0,0,33,2,-999
4614,43.819,-0.5941,RCP4.5,H1,2,0,0,-999,2,0,0,0,0,-999
4614,43.819,-0.5941,RCP4.5,H1,3,19,4,1,20,2,0,24,1,0
4614,43.819,-0.5941,RCP4.5,H1,4,12,2,-999,4,0,0,31,2,-999
4615,43.8217,-0.4948,RCP4.5,H1,2,0,0,-999,3,0,0,0,0,-999
4615,43.8217,-0.4948,RCP4.5,H1,3,18,4,0,19,2,0,24,1,0
4615,43.8217,-0.4948,RCP4.5,H1,4,12,2,-999,4,0,0,31,2,-999
4616,43.8242,-0.3956,RCP4.5,H1,2,0,0,-999,3,0,0,0,0,-999
4616,43.8242,-0.3956,RCP4.5,H1,3,18,4,0,19,2,0,23,1,0
4616,43.8242,-0.3956,RCP4.5,H1,4,12,2,-999,4,0,0,26,1,-999
4617,43.8267,-0.2963,RCP4.5,H1,2,0,0,-999,2,0,0,0,0,-999
4617,43.8267,-0.2963,RCP4.5,H1,3,17,3,0,18,2,0,29,2,0
4617,43.8267,-0.2963,RCP4.5,H1,4,8,1,-999,3,0,0,39,1,-999
4750,43.8699,-1.2932,RCP4.5,H1,2,0,0,-999,1,0,0,0,0,-999
4750,43.8699,-1.2932,RCP4.5,H1,3,17,3,0,10,0,0,20,1,0
4750,43.8699,-1.2932,RCP4.5,H1,4,7,1,-999,3,0,0,16,2,-999
4751,43.8731,-1.1939,RCP4.5,H1,2,0,0,-999,2,0,0,0,0,-999
4751,43.8731,-1.1939,RCP4.5,H1,3,14,3,0,11,0,0,22,1,0
4751,43.8731,-1.1939,RCP4.5,H1,4,7,1,-999,3,0,0,23,2,-999
